OBJECTID_x,ID,pH,As,Cd,Ni,Pb,Zn,Hg,slope,altitude,profile_curve,profile_c_num,profile_c_abs,planform_curve,planform_c_num,planform_c_abs,HYDGRP,HYDGRP_A,HYDGRP_B,HYDGRP_C,HYDGRP_D,ANION_EXCL,SOL_CRK,SOL_K1,CLAY1,SILT1,SAND1,ROCK1,SOL_EC1,distance
1277,GG-DMD-S-30,6.07,1.41,0.152,0,,,0,11.66629982,152.7059937,2.115339994,2.115339994,1,-0.236100003,0.236100003,0,A,1,0,0,0,0.5,0.5,260,5.2,13.5,81.3,4.4,0,43.90719947
1278,GG-DMD-S-31,5.07,2.45,0.152,0.19,,,0,36.20470047,206.6419983,1.031749964,1.031749964,1,-0.030809401,0.030809401,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,43.4747507
1279,GG-DMD-S-32,5.84,3.36,0.152,0,,,0,28.66950035,163.1660004,-0.079619303,0.079619303,0,0.229035005,0.229035005,1,A,1,0,0,0,0.5,0.5,15.93,15,48,37,28,0,43.23767452
1280,GG-DMD-S-33,7.05,1.1,0.005,1.06,,,0,27.37619972,205.8359985,0.166144997,0.166144997,1,0.227730006,0.227730006,1,A,1,0,0,0,0.5,0.5,15.93,15,48,37,28,0,43.15379281
1281,GG-DMD-S-34,6.42,1.22,0.152,0,,,0,28.68169975,186.1170044,0.00973109,0.00973109,1,-0.233250007,0.233250007,0,A,1,0,0,0,0.5,0.5,15.93,15,48,37,28,0,42.86690864
1282,GG-DMD-S-35,6.41,1.77,0.152,0.26,,,0,8.893850327,122.8779984,0.395096004,0.395096004,1,0.247879997,0.247879997,1,A,1,0,0,0,0.5,0.5,260,5.2,13.5,81.3,4.4,0,42.23643223
1283,GG-DMD-S-36,7.05,2.11,0.275,1.76,,,0,27.50169945,282.8630066,-0.754729986,0.754729986,0,1.844269991,1.844269991,1,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,42.15242611
1284,GG-DMD-S-37,5.57,0.97,0.31,3.99,,,0,1.901659966,106.5670013,-0.354577005,0.354577005,0,-0.249412999,0.249412999,0,A,1,0,0,0,0.5,0.5,260,5.2,13.5,81.3,4.4,0,43.07259989
1285,GG-DMD-S-38,6.43,1.14,0.045,0.04,,,0,8.63696003,206.3430023,-0.195262998,0.195262998,0,0.349842012,0.349842012,1,A,1,0,0,0,0.5,0.5,100.79,5.5,19.7,74.8,11.3,0,44.41622854
1286,GG-DMD-S-39,6.75,1.11,0.01,0,,,0,8.227600098,214.1690063,-0.130520999,0.130520999,0,0.0865198,0.0865198,1,A,1,0,0,0,0.5,0.5,100.79,5.5,19.7,74.8,11.3,0,44.52437133
1287,GG-DMD-S-40,5.4,1.24,0.03,1.34,,,0,15.51620007,198.5579987,0.053902298,0.053902298,1,-0.400503993,0.400503993,0,A,1,0,0,0,0.5,0.5,100.79,5.5,19.7,74.8,11.3,0,44.50278628
1288,GG-DMD-S-41,5.67,0.98,0.005,1.87,,,0,15.51620007,198.5579987,0.053902298,0.053902298,1,-0.400503993,0.400503993,0,A,1,0,0,0,0.5,0.5,100.79,5.5,19.7,74.8,11.3,0,44.50278628
1289,GG-DMD-S-42,5.69,0.25,0.03,0.9,,,0,36.90100098,179.5059967,3.491739988,3.491739988,1,-0.457109004,0.457109004,0,A,1,0,0,0,0.5,0.5,100.79,5.5,19.7,74.8,11.3,0,44.48517423
1290,GG-DMD-S-43,5.84,0.25,0.152,0.71,,,0,0.724373996,168.9279938,-0.053768001,0.053768001,0,0.00342195,0.00342195,1,A,1,0,0,0,0.5,0.5,150.34,8.8,29.1,62.1,0.7,0,44.47763109
1291,GG-DMD-S-44,5.7,0.83,0.055,2.16,,,0,5.578149796,161.1750031,1.558120012,1.558120012,1,0.0446922,0.0446922,1,A,1,0,0,0,0.5,0.5,260,5.2,13.5,81.3,4.4,0,44.38859683
1292,GG-DMD-S-45,5.76,0.24,0.07,0.39,,,0,5.578149796,161.1750031,1.558120012,1.558120012,1,0.0446922,0.0446922,1,A,1,0,0,0,0.5,0.5,260,5.2,13.5,81.3,4.4,0,44.38859683
1293,GG-DMD-S-46,6,0.24,0.01,1.97,,,0,13.63319969,166.9680023,-1.142820001,1.142820001,0,0.010802,0.010802,1,A,1,0,0,0,0.5,0.5,150.34,8.8,29.1,62.1,0.7,0,44.37555066
1294,GG-DMD-S-47,5.85,0.57,0.07,1.38,,,0,2.420850039,169.0749969,0.687617004,0.687617004,1,0.058771301,0.058771301,1,A,1,0,0,0,0.5,0.5,120.36,8.4,25.2,66.4,0,0,44.38866886
1295,GG-DMD-S-48,5.64,1.1,0.045,2,,,0,6.817490101,178.3919983,-0.0219342,0.0219342,0,-4.102200031,4.102200031,0,A,1,0,0,0,0.5,0.5,100.79,5.5,19.7,74.8,11.3,0,44.40435951
1296,GG-DMD-S-49,6.89,0.87,0.04,0.68,,,0,9.641739845,165.1529999,-1.841259956,1.841259956,0,0.092946798,0.092946798,1,A,1,0,0,0,0.5,0.5,260,5.2,13.5,81.3,4.4,0,44.29552389
1297,GG-DMD-S-50,5.77,1.2,0.045,0,,,0,9.641739845,165.1529999,-1.841259956,1.841259956,0,0.092946798,0.092946798,1,A,1,0,0,0,0.5,0.5,260,5.2,13.5,81.3,4.4,0,44.29552389
1298,GG-DMD-S-51,5.48,0.23,0.16,1.49,,,0,12.05389977,180.2359924,-2.029999971,2.029999971,0,0.222932994,0.222932994,1,A,1,0,0,0,0.5,0.5,100.79,5.5,19.7,74.8,11.3,0,44.30266404
1299,GG-DMD-S-52,5.49,0.24,0.08,1.73,,,0,12.05389977,180.2359924,-2.029999971,2.029999971,0,0.222932994,0.222932994,1,A,1,0,0,0,0.5,0.5,100.79,5.5,19.7,74.8,11.3,0,44.30266404
1300,GG-DMD-CS-1,5.77,2.07,0.23,1.01,,,0,42.64590073,771.9240112,-1.270529985,1.270529985,0,0.0016821,0.0016821,1,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,43.88653182
1301,GG-DMD-CS-2,6.11,1.81,0.295,1.99,,,0,21.50419998,279.0130005,-0.439920008,0.439920008,0,2.313129902,2.313129902,1,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,41.70899712
1302,GG-DMD-CS-3,6.32,1.67,0.33,2.41,,,0,31.87199974,269.0490112,-0.686811984,0.686811984,0,1.979329944,1.979329944,1,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,41.72593322
1303,GG-YC-S-24,5.99,0,0.19,4.86,,,0,14.9126997,75.64440155,-2.200400114,2.200400114,0,0.288426995,0.288426995,1,D,0,0,0,1,0.5,0.5,34.21,31.1,66.3,2.6,0,0,2.753635363
1304,GG-DC-PS-01,4.9,0.88,0.1,33.8,139,,0,10.7947998,191.201004,0.680405974,0.680405974,1,-0.767652988,0.767652988,0,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,45.51590541
1305,GG-DC-PS-02,6.1,0.88,0.5,6.1,141,,0,5.63628006,120.6699982,0.261023015,0.261023015,1,-0.035150401,0.035150401,0,B,0,1,0,0,0.5,0.5,5.77,25,42,33,2,0,45.69247191
1306,GG-DC-S-01,5.58,1.35,0.27,1.14,97.9,,0,30.88559914,309.0409851,0.98457402,0.98457402,1,1.398270011,1.398270011,1,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,45.14892528
